site,lat,lon,area,YYYY,MONTH,SSTmonthly
Baiyu,25.0608333,121.088611,Taoyuan,2003,4,23.6099994722754
Baiyu,25.0608333,121.088611,Taoyuan,2018,5,26.6399994045496
Baiyu,25.0608333,121.088611,Taoyuan,2004,7,28.4399993643165
Baiyu,25.0608333,121.088611,Taoyuan,2005,5,26.0899994168431
Baiyu,25.0608333,121.088611,Taoyuan,2019,7,29.1299993488938
Baiyu,25.0608333,121.088611,Taoyuan,2004,10,24.9399994425476
Baiyu,25.0608333,121.088611,Taoyuan,2011,8,28.8799993544817
Baiyu,25.0608333,121.088611,Taoyuan,2008,10,25.8999994210899
Baiyu,25.0608333,121.088611,Taoyuan,2013,7,29.0899993497878
Baiyu,25.0608333,121.088611,Taoyuan,2019,5,26.2199994139373
Baiyu,25.0608333,121.088611,Taoyuan,2018,6,27.7999993786216
Baiyu,25.0608333,121.088611,Taoyuan,2017,6,27.7999993786216
Baiyu,25.0608333,121.088611,Taoyuan,2002,10,26.0899994168431
Baiyu,25.0608333,121.088611,Taoyuan,2018,12,21.9399995096028
Baiyu,25.0608333,121.088611,Taoyuan,2016,8,29.5999993383884
Baiyu,25.0608333,121.088611,Taoyuan,2015,8,28.4699993636459
Baiyu,25.0608333,121.088611,Taoyuan,2011,4,22.1399995051324
Baiyu,25.0608333,121.088611,Taoyuan,2012,6,27.3799993880093
Baiyu,25.0608333,121.088611,Taoyuan,2020,5,26.7199994027615
Baiyu,25.0608333,121.088611,Taoyuan,2012,8,27.9299993757159
Baiyu,25.0608333,121.088611,Taoyuan,2009,10,25.52999942936
Baiyu,25.0608333,121.088611,Taoyuan,2009,4,22.7899994906038
Baiyu,25.0608333,121.088611,Taoyuan,2019,12,20.4899995420128
Baiyu,25.0608333,121.088611,Taoyuan,2019,6,28.2099993694574
Baiyu,25.0608333,121.088611,Taoyuan,2003,12,20.3199995458126
Baiyu,25.0608333,121.088611,Taoyuan,2017,3,19.9199995547533
Baiyu,25.0608333,121.088611,Taoyuan,2009,5,25.5799994282424
Baiyu,25.0608333,121.088611,Taoyuan,2008,5,25.8999994210899
Baiyu,25.0608333,121.088611,Taoyuan,2008,7,28.4899993631989
Baiyu,25.0608333,121.088611,Taoyuan,2012,4,24.9099994432181
Baiyu,25.0608333,121.088611,Taoyuan,2013,10,25.0799994394183
Baiyu,25.0608333,121.088611,Taoyuan,2005,9,28.0199993737042
Baiyu,25.0608333,121.088611,Taoyuan,2010,10,25.9299994204193
Baiyu,25.0608333,121.088611,Taoyuan,2018,9,28.0299993734807
Baiyu,25.0608333,121.088611,Taoyuan,2010,8,29.3699993435293
Baiyu,25.0608333,121.088611,Taoyuan,2007,4,23.559999473393
Baiyu,25.0608333,121.088611,Taoyuan,2004,4,23.7199994698167
Baiyu,25.0608333,121.088611,Taoyuan,2017,12,20.0499995518476
Baiyu,25.0608333,121.088611,Taoyuan,2009,7,28.5699993614107
Baiyu,25.0608333,121.088611,Taoyuan,2014,12,20.2199995480478
Baiyu,25.0608333,121.088611,Taoyuan,2017,10,27.1299993935972
Baiyu,25.0608333,121.088611,Taoyuan,2017,8,29.4599993415177
